alphabet	dataset	index	errors	plength	pcount	occurrences	time	preprocessing
dna	celegans	sa	0	5	207346111989	1.335835	0.000000
dna	celegans	sa	0	10	602027321	2.140393	0.000000
dna	celegans	sa	0	15	12723782	1.669401	0.000000
dna	celegans	sa	0	20	4886893	1.615918	0.000000
dna	celegans	sa	0	25	3107406	1.605498	0.000000
dna	celegans	sa	0	30	2333877	1.611988	0.000000
dna	celegans	sa	0	35	1855664	1.646496	0.000000
dna	celegans	sa	0	40	1532479	1.649920	0.000000
dna	celegans	sa	0	45	1285850	1.644147	0.000000
dna	celegans	sa	0	50	1106625	1.640932	0.000000
dna	celegans	sa	1	5	2513101307677	29.313894	0.000000
dna	celegans	sa	1	10	12144176755	70.502311	0.000000
dna	celegans	sa	1	15	104021534	65.498830	0.000000
dna	celegans	sa	1	20	13209865	63.954341	0.000000
dna	celegans	sa	1	25	7573050	64.011828	0.000000
dna	celegans	sa	1	30	5367014	64.042425	0.000000
dna	celegans	sa	1	35	4062610	64.165522	0.000000
dna	celegans	sa	1	40	3209221	64.164086	0.000000
dna	celegans	sa	1	45	2585925	64.286005	0.000000
dna	celegans	sa	1	50	2121726	64.328361	0.000000
dna	celegans	esa	0	5	207346111989	0.240489	0.000000
dna	celegans	esa	0	10	602027321	1.161771	0.000000
dna	celegans	esa	0	15	12723782	1.672934	0.000000
dna	celegans	esa	0	20	4886893	1.693841	0.000000
dna	celegans	esa	0	25	3107406	1.718582	0.000000
dna	celegans	esa	0	30	2333877	1.734477	0.000000
dna	celegans	esa	0	35	1855664	1.745774	0.000000
dna	celegans	esa	0	40	1532479	1.751188	0.000000
dna	celegans	esa	0	45	1285850	1.760966	0.000000
dna	celegans	esa	0	50	1106625	1.753475	0.000000
dna	celegans	qgram	0	5	207346082627	0.412715	0.000000
dna	celegans	qgram	0	10	602026562	0.828623	0.000000
dna	celegans	qgram	0	15	12723782	1.306281	0.000000
dna	celegans	qgram	0	20	4886893	1.328242	0.000000
dna	celegans	qgram	0	25	3107406	1.362939	0.000000
dna	celegans	qgram	0	30	2333877	1.354872	0.000000
dna	celegans	qgram	0	35	1855664	1.355943	0.000000
dna	celegans	qgram	0	40	1532479	1.361140	0.000000
dna	celegans	qgram	0	45	1285850	1.426425	0.000000
dna	celegans	qgram	0	50	1106625	1.361067	0.000000
dna	celegans	qgram	1	5	2513100798361	4.874973	0.000000
dna	celegans	qgram	1	10	12144174962	15.925015	0.000000
dna	celegans	qgram	1	15	104021534	30.930134	0.000000
dna	celegans	qgram	1	20	13209865	30.753130	0.000000
dna	celegans	qgram	1	25	7573050	31.855177	0.000000
dna	celegans	qgram	1	30	5367014	31.939074	0.000000
dna	celegans	qgram	1	35	4062610	32.040093	0.000000
dna	celegans	qgram	1	40	3209221	31.220400	0.000000
dna	celegans	qgram	1	45	2585925	31.237832	0.000000
dna	celegans	qgram	1	50	2121726	31.346347	0.000000
dna	celegans	fm-tl	0	5	207346111989	0.106095	0.000000
dna	celegans	fm-tl	0	10	602027321	0.314065	0.000000
dna	celegans	fm-tl	0	15	12723782	0.686519	0.000000
dna	celegans	fm-tl	0	20	4886893	0.929269	0.000000
dna	celegans	fm-tl	0	25	3107406	1.125772	0.000000
dna	celegans	fm-tl	0	30	2333877	1.322214	0.000000
dna	celegans	fm-tl	0	35	1855664	1.513265	0.000000
dna	celegans	fm-tl	0	40	1532479	1.699134	0.000000
dna	celegans	fm-tl	0	45	1285850	1.884475	0.000000
dna	celegans	fm-tl	0	50	1106625	2.069886	0.000000
dna	celegans	fm-tl	1	5	2513101307677	1.465881	0.000000
dna	celegans	fm-tl	1	10	12144176755	6.828344	0.000000
dna	celegans	fm-tl	1	15	104021534	18.500638	0.000000
dna	celegans	fm-tl	1	20	13209865	21.044491	0.000000
dna	celegans	fm-tl	1	25	7573050	21.716987	0.000000
dna	celegans	fm-tl	1	30	5367014	22.241170	0.000000
dna	celegans	fm-tl	1	35	4062610	22.742356	0.000000
dna	celegans	fm-tl	1	40	3209221	23.170463	0.000000
dna	celegans	fm-tl	1	45	2585925	23.632078	0.000000
dna	celegans	fm-tl	1	50	2121726	24.037386	0.000000
dna	celegans	fm-wt	0	5	207346111989	0.132977	0.000000
dna	celegans	fm-wt	0	10	602027321	0.508668	0.000000
dna	celegans	fm-wt	0	15	12723782	1.170686	0.000000
dna	celegans	fm-wt	0	20	4886893	1.589791	0.000000
dna	celegans	fm-wt	0	25	3107406	1.973497	0.000000
dna	celegans	fm-wt	0	30	2333877	2.294683	0.000000
dna	celegans	fm-wt	0	35	1855664	2.733900	0.000000
dna	celegans	fm-wt	0	40	1532479	2.967218	0.000000
dna	celegans	fm-wt	0	45	1285850	3.285152	0.000000
dna	celegans	fm-wt	0	50	1106625	3.628792	0.000000
dna	celegans	fm-wt	1	5	2513101307677	1.583051	0.000000
dna	celegans	fm-wt	1	10	12144176755	10.700845	0.000000
dna	celegans	fm-wt	1	15	104021534	29.585972	0.000000
dna	celegans	fm-wt	1	20	13209865	34.661735	0.000000
dna	celegans	fm-wt	1	25	7573050	36.223589	0.000000
dna	celegans	fm-wt	1	30	5367014	35.767039	0.000000
dna	celegans	fm-wt	1	35	4062610	38.014828	0.000000
dna	celegans	fm-wt	1	40	3209221	37.412335	0.000000
dna	celegans	fm-wt	1	45	2585925	39.515690	0.000000
dna	celegans	fm-wt	1	50	2121726	38.922586	0.000000
